Project ID,T type sub-class,Avg ISI,F I curve slope
1HEYEW7GMUKWIQW37BO,Sst interneuron,39.53,0.260526316
1HEYEW7GMUKWIQW37BO,Sst interneuron,21.76888889,0.31792529
1HEYEW7GMUKWIQW37BO,Sst interneuron,63.32,0.354999958
1HEYEW7GMUKWIQW37BO,Sst interneuron,55.9,0.050000002
1HEYEW7GMUKWIQW37BO,Sst interneuron,47.18,0.375
1HEYEW7GMUKWIQW37BO,Sst interneuron,56.25625,0.312857168
1HEYEW7GMUKWIQW37BO,Sst interneuron,41.2426087,0.484482748
1HEYEW7GMUKWIQW37BO,Sst interneuron,206.96,0.120043106
1HEYEW7GMUKWIQW37BO,Vip interneuron,5.58,0.039872611
1HEYEW7GMUKWIQW37BO,Vip interneuron,71.12615385,0.290517233
1HEYEW7GMUKWIQW37BO,Vip interneuron,57.01,0.307857138
1HEYEW7GMUKWIQW37BO,Sst interneuron,31.14666667,0.313392857
1HEYEW7GMUKWIQW37BO,Sst interneuron,43.70952381,0.362499993
1HEYEW7GMUKWIQW37BO,Sst interneuron,64.12666667,0.093382353
1HEYEW7GMUKWIQW37BO,Sst interneuron,46.30285714,0.543750001
1HEYEW7GMUKWIQW37BO,Vip interneuron,28.63058824,0.462499991
1HEYEW7GMUKWIQW37BO,Vip interneuron,26.35297297,0.648007964
1HEYEW7GMUKWIQW37BO,Sst interneuron,22.52,0.020689656
1HEYEW7GMUKWIQW37BO,Vip interneuron,50.15,0.319999995
1HEYEW7GMUKWIQW37BO,Vip interneuron,29.87272727,0.26
1HEYEW7GMUKWIQW37BO,Sst interneuron,85.664,0.250714287
1HEYEW7GMUKWIQW37BO,Sst interneuron,,0.014285714
1HEYEW7GMUKWIQW37BO,Sst interneuron,43.85454545,0.485294107
1HEYEW7GMUKWIQW37BO,Sst interneuron,151.1133333,0.023220642
1HEYEW7GMUKWIQW37BO,Vip interneuron,18.42,0.020689655
1HEYEW7GMUKWIQW37BO,Sst interneuron,46.564,0.46
1HEYEW7GMUKWIQW37BO,Sst interneuron,16.23836066,0.65862069
1HEYEW7GMUKWIQW37BO,Sst interneuron,100.3955556,0.132417584
1HEYEW7GMUKWIQW37BO,Vip interneuron,209.1866667,0.102142857
1HEYEW7GMUKWIQW37BO,Sst interneuron,37.5975,0.449999989
1HEYEW7GMUKWIQW37BO,Sst interneuron,51.00222222,0.510189615
1HEYEW7GMUKWIQW37BO,Sst interneuron,40.16,0.455172414
1HEYEW7GMUKWIQW37BO,Vip interneuron,69.45666667,0.368103446
1HEYEW7GMUKWIQW37BO,Sst interneuron,30.865,0.050862067
1HEYEW7GMUKWIQW37BO,Sst interneuron,45.16222222,0.279310345
1HEYEW7GMUKWIQW37BO,Sst interneuron,59.22,0.120689649
1HEYEW7GMUKWIQW37BO,Sst interneuron,44.065,0.105714296
1HEYEW7GMUKWIQW37BO,Sst interneuron,40.956,0.108620683
1HEYEW7GMUKWIQW37BO,Vip interneuron,29.41333333,0.095098033
1HEYEW7GMUKWIQW37BO,Vip interneuron,28.51428571,0.105204461
1HEYEW7GMUKWIQW37BO,Sst interneuron,27.30235294,0.481034483
1HEYEW7GMUKWIQW37BO,Sst interneuron,42.92,0.036170211
1HEYEW7GMUKWIQW37BO,Sst interneuron,34.62,0.309375018
1HEYEW7GMUKWIQW37BO,Sst interneuron,63.48571429,0.349999987
1HEYEW7GMUKWIQW37BO,Vip interneuron,102.56,0.115714295
1HEYEW7GMUKWIQW37BO,Sst interneuron,52.74,0.194827587
1HEYEW7GMUKWIQW37BO,Sst interneuron,71.865,0.25934581
1HEYEW7GMUKWIQW37BO,Sst interneuron,54.56941176,0.43
1HEYEW7GMUKWIQW37BO,Sst interneuron,50.57777778,0.366428571
1HEYEW7GMUKWIQW37BO,Vip interneuron,154.185,0.132835826
1HEYEW7GMUKWIQW37BO,Sst interneuron,,0.373241938
1HEYEW7GMUKWIQW37BO,Vip interneuron,29.356,0.13987069
1HEYEW7GMUKWIQW37BO,Vip interneuron,33.925,0.121551731
1HEYEW7GMUKWIQW37BO,Sst interneuron,27.72888889,0.479439317
